question_id,subject,topic,question_text,question_type,cognitive_level,avg_score,std_dev,discrimination_index,difficulty_label
Q1461,Computer Science,Data Structures,Apply the theory of Data Structures in practical scenarios.,MCQ,Remember,3.96,1.6,0.44,Hard
Q1462,Physics,Optics,Analyze the principles of Optics in Physics.,Long Answer,Understand,5.0,2.21,0.77,Medium
Q1463,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,Short Answer,Remember,7.5,1.64,0.49,Easy
Q1464,Biology,Genetics,Solve a problem related to Genetics in Biology.,MCQ,Understand,5.21,1.12,0.02,Medium
Q1465,Computer Science,Data Structures,Explain the concept of Data Structures in Computer Science.,Long Answer,Apply,6.38,1.65,0.54,Medium
Q1466,Physics,Mechanics,Explain the concept of Mechanics in Physics.,Long Answer,Remember,4.17,1.21,0.63,Medium
Q1467,Biology,Genetics,Evaluate the impact of Genetics in Biology.,MCQ,Analyze,2.92,1.43,0.48,Hard
Q1468,Biology,Evolution,Apply the theory of Evolution in practical scenarios.,Long Answer,Analyze,5.81,1.38,0.32,Medium
Q1469,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,MCQ,Analyze,5.22,1.35,0.02,Medium
Q1470,Chemistry,Physical,Explain the concept of Physical in Chemistry.,MCQ,Analyze,5.19,2.24,0.42,Medium
Q1471,Computer Science,Algorithms,Apply the theory of Algorithms in practical scenarios.,MCQ,Evaluate,8.62,1.39,0.77,Easy
Q1472,Chemistry,Physical,Explain the concept of Physical in Chemistry.,Numerical,Remember,6.16,1.07,0.8,Medium
Q1473,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Long Answer,Understand,8.28,1.31,-0.05,Easy
Q1474,Chemistry,Biochemistry,Explain the concept of Biochemistry in Chemistry.,Long Answer,Analyze,6.33,1.71,0.2,Medium
Q1475,Chemistry,Organic,Explain the concept of Organic in Chemistry.,Long Answer,Remember,5.77,1.61,0.17,Medium
Q1476,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,Numerical,Analyze,8.04,1.89,0.82,Easy
Q1477,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,MCQ,Remember,7.19,1.21,0.61,Easy
Q1478,Biology,Ecology,Analyze the principles of Ecology in Biology.,Long Answer,Analyze,5.68,1.19,0.11,Medium
Q1479,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,Numerical,Apply,8.7,1.94,0.87,Easy
Q1480,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,Numerical,Analyze,8.42,1.25,0.28,Easy
Q1481,Chemistry,Organic,Apply the theory of Organic in practical scenarios.,MCQ,Remember,5.6,1.62,0.84,Medium
Q1482,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Remember,4.65,0.95,0.63,Medium
Q1483,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,MCQ,Analyze,9.12,0.73,0.29,Easy
Q1484,Chemistry,Biochemistry,Explain the concept of Biochemistry in Chemistry.,Short Answer,Analyze,4.32,1.87,-0.14,Medium
Q1485,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,Long Answer,Analyze,5.51,0.55,-0.02,Medium
Q1486,Biology,Genetics,Explain the concept of Genetics in Biology.,MCQ,Apply,3.68,0.66,-0.14,Hard
Q1487,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,Short Answer,Analyze,7.92,1.6,-0.03,Easy
Q1488,Mathematics,Probability,Apply the theory of Probability in practical scenarios.,Long Answer,Apply,9.37,2.0,0.26,Easy
Q1489,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,Short Answer,Apply,4.53,2.33,0.36,Medium
Q1490,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,MCQ,Analyze,5.44,1.55,0.21,Medium
Q1491,Chemistry,Biochemistry,Apply the theory of Biochemistry in practical scenarios.,MCQ,Remember,5.89,1.67,0.35,Medium
Q1492,Chemistry,Biochemistry,Evaluate the impact of Biochemistry in Chemistry.,Short Answer,Remember,6.51,1.74,0.44,Medium
Q1493,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Short Answer,Remember,6.76,1.66,0.3,Medium
Q1494,Biology,Genetics,Solve a problem related to Genetics in Biology.,Short Answer,Remember,1.29,1.24,0.86,Hard
Q1495,Biology,Genetics,Analyze the principles of Genetics in Biology.,Long Answer,Analyze,4.97,1.62,0.75,Medium
Q1496,Mathematics,Probability,Analyze the principles of Probability in Mathematics.,Numerical,Apply,4.47,1.48,0.4,Medium
Q1497,Physics,Mechanics,Explain the concept of Mechanics in Physics.,Numerical,Evaluate,7.98,1.39,0.02,Easy
Q1498,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,MCQ,Understand,6.45,2.13,-0.14,Medium
Q1499,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,MCQ,Evaluate,6.03,1.74,0.12,Medium
Q1500,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,MCQ,Understand,8.29,1.45,0.14,Easy
Q1501,Computer Science,Algorithms,Evaluate the impact of Algorithms in Computer Science.,Numerical,Remember,5.41,1.38,0.13,Medium
Q1502,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,Long Answer,Remember,5.69,2.25,0.05,Medium
Q1503,Computer Science,Algorithms,Apply the theory of Algorithms in practical scenarios.,MCQ,Understand,5.03,1.02,0.83,Medium
Q1504,Biology,Genetics,Explain the concept of Genetics in Biology.,MCQ,Evaluate,3.34,1.47,0.78,Hard
Q1505,Physics,Optics,Apply the theory of Optics in practical scenarios.,Long Answer,Analyze,9.63,1.33,0.88,Easy
Q1506,Chemistry,Biochemistry,Apply the theory of Biochemistry in practical scenarios.,Numerical,Remember,4.06,1.99,0.0,Medium
Q1507,Chemistry,Physical,Explain the concept of Physical in Chemistry.,Numerical,Remember,5.04,1.68,0.31,Medium
Q1508,Physics,Thermodynamics,Solve a problem related to Thermodynamics in Physics.,MCQ,Remember,3.38,2.47,-0.17,Hard
Q1509,Computer Science,Data Structures,Evaluate the impact of Data Structures in Computer Science.,Long Answer,Understand,6.79,1.63,0.28,Medium
Q1510,Mathematics,Linear Algebra,Solve a problem related to Linear Algebra in Mathematics.,Numerical,Apply,2.58,2.82,0.23,Hard
Q1511,Physics,Electromagnetism,Solve a problem related to Electromagnetism in Physics.,Short Answer,Understand,8.19,0.72,0.82,Easy
Q1512,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,Short Answer,Understand,6.02,1.78,0.3,Medium
Q1513,Mathematics,Calculus,Solve a problem related to Calculus in Mathematics.,Numerical,Analyze,6.49,0.95,0.11,Medium
Q1514,Biology,Ecology,Analyze the principles of Ecology in Biology.,Numerical,Analyze,4.65,0.71,0.9,Medium
Q1515,Physics,Thermodynamics,Solve a problem related to Thermodynamics in Physics.,Numerical,Understand,6.22,1.19,-0.11,Medium
Q1516,Biology,Ecology,Analyze the principles of Ecology in Biology.,Short Answer,Understand,5.59,0.91,0.36,Medium
Q1517,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,Numerical,Understand,4.29,0.94,-0.1,Medium
Q1518,Chemistry,Physical,Evaluate the impact of Physical in Chemistry.,Numerical,Analyze,5.68,1.72,0.43,Medium
Q1519,Computer Science,DBMS,Analyze the principles of DBMS in Computer Science.,Short Answer,Evaluate,6.09,1.78,-0.18,Medium
Q1520,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,Long Answer,Analyze,5.32,0.68,0.56,Medium
Q1521,Chemistry,Biochemistry,Evaluate the impact of Biochemistry in Chemistry.,MCQ,Analyze,6.65,0.6,0.39,Medium
Q1522,Mathematics,Probability,Explain the concept of Probability in Mathematics.,Long Answer,Understand,3.65,1.33,0.88,Hard
Q1523,Chemistry,Organic,Explain the concept of Organic in Chemistry.,Long Answer,Remember,5.99,2.09,0.46,Medium
Q1524,Computer Science,Algorithms,Explain the concept of Algorithms in Computer Science.,Numerical,Evaluate,6.49,0.74,0.56,Medium
Q1525,Biology,Evolution,Evaluate the impact of Evolution in Biology.,Long Answer,Remember,6.55,1.5,0.47,Medium
Q1526,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,MCQ,Analyze,8.57,1.2,-0.01,Easy
Q1527,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,Numerical,Analyze,2.87,0.91,0.27,Hard
Q1528,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,Short Answer,Evaluate,5.83,2.26,0.67,Medium
Q1529,Computer Science,Data Structures,Apply the theory of Data Structures in practical scenarios.,Numerical,Apply,2.32,1.95,0.69,Hard
Q1530,Computer Science,Data Structures,Explain the concept of Data Structures in Computer Science.,Numerical,Understand,4.48,1.14,0.35,Medium
Q1531,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,Short Answer,Remember,6.33,2.6,0.29,Medium
Q1532,Physics,Mechanics,Solve a problem related to Mechanics in Physics.,Long Answer,Understand,6.14,1.74,0.75,Medium
Q1533,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,Numerical,Remember,6.42,0.95,0.75,Medium
Q1534,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,MCQ,Evaluate,9.26,1.81,0.21,Easy
Q1535,Mathematics,Probability,Solve a problem related to Probability in Mathematics.,MCQ,Apply,5.82,1.06,0.23,Medium
Q1536,Computer Science,DBMS,Apply the theory of DBMS in practical scenarios.,Numerical,Apply,5.24,1.77,0.86,Medium
Q1537,Biology,Ecology,Evaluate the impact of Ecology in Biology.,Long Answer,Analyze,7.52,1.35,0.86,Easy
Q1538,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,Long Answer,Remember,2.22,1.2,0.38,Hard
Q1539,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Short Answer,Apply,3.76,1.96,0.61,Hard
Q1540,Biology,Ecology,Apply the theory of Ecology in practical scenarios.,Short Answer,Evaluate,2.85,0.89,0.15,Hard
Q1541,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,Numerical,Remember,1.96,1.45,0.01,Hard
Q1542,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,MCQ,Remember,3.36,0.44,0.43,Hard
Q1543,Physics,Optics,Apply the theory of Optics in practical scenarios.,Long Answer,Remember,8.32,1.99,0.47,Easy
Q1544,Physics,Electromagnetism,Evaluate the impact of Electromagnetism in Physics.,MCQ,Remember,6.52,1.2,-0.13,Medium
Q1545,Chemistry,Organic,Evaluate the impact of Organic in Chemistry.,Numerical,Evaluate,9.02,1.8,0.03,Easy
Q1546,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,Long Answer,Evaluate,5.72,2.1,0.04,Medium
Q1547,Chemistry,Organic,Solve a problem related to Organic in Chemistry.,Long Answer,Evaluate,8.41,0.74,0.4,Easy
Q1548,Computer Science,Data Structures,Analyze the principles of Data Structures in Computer Science.,Long Answer,Analyze,5.24,1.16,0.06,Medium
Q1549,Physics,Optics,Solve a problem related to Optics in Physics.,Short Answer,Evaluate,5.15,0.82,0.57,Medium
Q1550,Computer Science,Operating Systems,Analyze the principles of Operating Systems in Computer Science.,Short Answer,Evaluate,4.83,0.88,0.23,Medium
Q1551,Chemistry,Physical,Evaluate the impact of Physical in Chemistry.,Long Answer,Remember,4.74,1.87,-0.13,Medium
Q1552,Chemistry,Organic,Analyze the principles of Organic in Chemistry.,Long Answer,Apply,3.73,1.05,0.36,Hard
Q1553,Physics,Optics,Analyze the principles of Optics in Physics.,Numerical,Evaluate,6.99,1.69,0.73,Medium
Q1554,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,MCQ,Understand,8.79,0.98,0.14,Easy
Q1555,Chemistry,Organic,Explain the concept of Organic in Chemistry.,Long Answer,Apply,6.31,1.33,-0.19,Medium
Q1556,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,MCQ,Remember,2.56,1.04,0.56,Hard
Q1557,Biology,Ecology,Evaluate the impact of Ecology in Biology.,MCQ,Apply,4.47,2.02,0.69,Medium
Q1558,Mathematics,Calculus,Evaluate the impact of Calculus in Mathematics.,Numerical,Remember,5.07,0.61,0.6,Medium
Q1559,Physics,Mechanics,Solve a problem related to Mechanics in Physics.,MCQ,Apply,7.36,0.92,0.47,Easy
Q1560,Biology,Evolution,Analyze the principles of Evolution in Biology.,MCQ,Apply,6.84,2.28,0.1,Medium
Q1561,Chemistry,Physical,Analyze the principles of Physical in Chemistry.,Numerical,Evaluate,1.87,1.34,0.44,Hard
Q1562,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Long Answer,Analyze,6.34,1.98,0.49,Medium
Q1563,Physics,Optics,Apply the theory of Optics in practical scenarios.,Long Answer,Analyze,4.69,1.51,0.06,Medium
Q1564,Mathematics,Linear Algebra,Explain the concept of Linear Algebra in Mathematics.,Long Answer,Understand,2.07,1.46,-0.0,Hard
Q1565,Biology,Ecology,Solve a problem related to Ecology in Biology.,Long Answer,Apply,1.93,1.52,0.08,Hard
Q1566,Physics,Thermodynamics,Analyze the principles of Thermodynamics in Physics.,Short Answer,Evaluate,3.8,1.45,0.82,Hard
Q1567,Physics,Mechanics,Apply the theory of Mechanics in practical scenarios.,Long Answer,Apply,6.81,1.86,-0.08,Medium
Q1568,Biology,Evolution,Explain the concept of Evolution in Biology.,Long Answer,Analyze,7.3,1.79,0.64,Easy
Q1569,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,Short Answer,Evaluate,6.61,1.09,0.72,Medium
Q1570,Biology,Genetics,Solve a problem related to Genetics in Biology.,Long Answer,Evaluate,9.72,1.99,0.3,Easy
Q1571,Mathematics,Probability,Evaluate the impact of Probability in Mathematics.,Numerical,Analyze,4.95,1.52,0.5,Medium
Q1572,Mathematics,Probability,Apply the theory of Probability in practical scenarios.,Long Answer,Understand,5.75,1.1,0.12,Medium
Q1573,Biology,Cell Biology,Solve a problem related to Cell Biology in Biology.,Long Answer,Apply,3.82,1.57,0.56,Hard
Q1574,Biology,Evolution,Apply the theory of Evolution in practical scenarios.,Numerical,Apply,5.0,1.72,-0.09,Medium
Q1575,Physics,Optics,Apply the theory of Optics in practical scenarios.,Numerical,Evaluate,1.26,2.52,-0.08,Hard
Q1576,Physics,Mechanics,Evaluate the impact of Mechanics in Physics.,Long Answer,Understand,7.78,1.68,0.71,Easy
Q1577,Mathematics,Algebra,Solve a problem related to Algebra in Mathematics.,Numerical,Apply,4.67,1.6,-0.08,Medium
Q1578,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,Numerical,Remember,5.19,1.19,0.22,Medium
Q1579,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,Long Answer,Remember,6.29,1.79,0.72,Medium
Q1580,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Long Answer,Understand,4.75,1.67,0.61,Medium
Q1581,Physics,Optics,Apply the theory of Optics in practical scenarios.,Numerical,Remember,7.68,0.82,0.18,Easy
Q1582,Mathematics,Algebra,Explain the concept of Algebra in Mathematics.,MCQ,Understand,6.64,1.42,-0.17,Medium
Q1583,Mathematics,Probability,Solve a problem related to Probability in Mathematics.,Numerical,Remember,8.16,1.97,0.72,Easy
Q1584,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,Numerical,Understand,8.66,2.16,-0.06,Easy
Q1585,Computer Science,Operating Systems,Solve a problem related to Operating Systems in Computer Science.,Long Answer,Analyze,5.75,1.92,-0.16,Medium
Q1586,Physics,Thermodynamics,Apply the theory of Thermodynamics in practical scenarios.,MCQ,Understand,8.16,1.27,0.57,Easy
Q1587,Mathematics,Probability,Analyze the principles of Probability in Mathematics.,Numerical,Apply,4.66,1.47,0.27,Medium
Q1588,Physics,Mechanics,Apply the theory of Mechanics in practical scenarios.,Numerical,Understand,7.55,1.47,0.51,Easy
Q1589,Chemistry,Biochemistry,Explain the concept of Biochemistry in Chemistry.,MCQ,Evaluate,6.52,0.53,-0.13,Medium
Q1590,Biology,Evolution,Solve a problem related to Evolution in Biology.,Short Answer,Understand,5.86,1.62,0.33,Medium
Q1591,Physics,Thermodynamics,Apply the theory of Thermodynamics in practical scenarios.,Long Answer,Remember,8.74,0.96,0.53,Easy
Q1592,Chemistry,Inorganic,Solve a problem related to Inorganic in Chemistry.,Long Answer,Understand,4.02,1.96,0.15,Medium
Q1593,Biology,Evolution,Explain the concept of Evolution in Biology.,Numerical,Analyze,6.7,1.08,-0.16,Medium
Q1594,Mathematics,Linear Algebra,Evaluate the impact of Linear Algebra in Mathematics.,MCQ,Understand,8.0,1.63,0.78,Easy
Q1595,Biology,Cell Biology,Solve a problem related to Cell Biology in Biology.,Short Answer,Understand,2.44,0.38,-0.12,Hard
Q1596,Computer Science,DBMS,Evaluate the impact of DBMS in Computer Science.,Long Answer,Understand,7.99,1.76,0.07,Easy
Q1597,Biology,Evolution,Solve a problem related to Evolution in Biology.,Long Answer,Remember,8.35,1.36,0.76,Easy
Q1598,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,Short Answer,Analyze,6.62,0.71,0.01,Medium
Q1599,Biology,Genetics,Evaluate the impact of Genetics in Biology.,Numerical,Analyze,7.1,1.84,-0.15,Easy
Q1600,Chemistry,Biochemistry,Explain the concept of Biochemistry in Chemistry.,Numerical,Remember,5.57,2.09,0.18,Medium
Q1601,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,Numerical,Remember,4.24,1.55,0.63,Medium
Q1602,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,Short Answer,Analyze,3.45,1.67,0.01,Hard
Q1603,Biology,Genetics,Analyze the principles of Genetics in Biology.,Long Answer,Evaluate,8.3,1.65,-0.18,Easy
Q1604,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,Numerical,Remember,6.19,1.2,0.7,Medium
Q1605,Physics,Electromagnetism,Evaluate the impact of Electromagnetism in Physics.,Long Answer,Remember,3.69,0.83,0.46,Hard
Q1606,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Numerical,Evaluate,7.49,2.2,0.44,Easy
Q1607,Mathematics,Calculus,Evaluate the impact of Calculus in Mathematics.,Short Answer,Remember,7.69,2.08,0.03,Easy
Q1608,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,Short Answer,Apply,4.26,1.33,-0.06,Medium
Q1609,Physics,Optics,Analyze the principles of Optics in Physics.,Long Answer,Evaluate,7.7,1.71,0.86,Easy
Q1610,Mathematics,Linear Algebra,Solve a problem related to Linear Algebra in Mathematics.,Numerical,Analyze,3.71,1.73,-0.08,Hard
Q1611,Computer Science,Algorithms,Solve a problem related to Algorithms in Computer Science.,Long Answer,Remember,6.65,2.14,0.48,Medium
Q1612,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,Short Answer,Apply,7.41,1.99,0.72,Easy
Q1613,Physics,Mechanics,Analyze the principles of Mechanics in Physics.,MCQ,Understand,5.08,1.88,0.5,Medium
Q1614,Biology,Ecology,Explain the concept of Ecology in Biology.,Numerical,Apply,6.4,1.46,-0.16,Medium
Q1615,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,MCQ,Evaluate,3.61,1.64,0.58,Hard
Q1616,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,MCQ,Analyze,4.93,1.17,0.34,Medium
Q1617,Physics,Electromagnetism,Apply the theory of Electromagnetism in practical scenarios.,MCQ,Evaluate,6.84,1.21,0.35,Medium
Q1618,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Short Answer,Analyze,3.53,1.84,-0.03,Hard
Q1619,Mathematics,Probability,Solve a problem related to Probability in Mathematics.,Long Answer,Understand,7.71,2.34,0.63,Easy
Q1620,Physics,Electromagnetism,Explain the concept of Electromagnetism in Physics.,Short Answer,Apply,4.98,0.57,0.25,Medium
Q1621,Chemistry,Biochemistry,Explain the concept of Biochemistry in Chemistry.,MCQ,Analyze,4.08,0.82,0.42,Medium
Q1622,Biology,Genetics,Explain the concept of Genetics in Biology.,MCQ,Analyze,6.63,1.41,0.09,Medium
Q1623,Physics,Optics,Apply the theory of Optics in practical scenarios.,MCQ,Analyze,7.38,1.63,-0.01,Easy
Q1624,Physics,Electromagnetism,Apply the theory of Electromagnetism in practical scenarios.,Short Answer,Analyze,5.9,1.74,0.84,Medium
Q1625,Mathematics,Algebra,Evaluate the impact of Algebra in Mathematics.,Numerical,Evaluate,3.63,2.03,0.01,Hard
Q1626,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,Numerical,Evaluate,4.85,1.36,-0.04,Medium
Q1627,Chemistry,Physical,Solve a problem related to Physical in Chemistry.,Short Answer,Understand,5.64,1.04,0.68,Medium
Q1628,Mathematics,Algebra,Analyze the principles of Algebra in Mathematics.,Long Answer,Remember,3.71,1.77,-0.09,Hard
Q1629,Biology,Genetics,Analyze the principles of Genetics in Biology.,Short Answer,Analyze,5.02,2.04,0.52,Medium
Q1630,Computer Science,Algorithms,Analyze the principles of Algorithms in Computer Science.,Numerical,Evaluate,9.95,1.71,0.55,Easy
Q1631,Mathematics,Calculus,Analyze the principles of Calculus in Mathematics.,Short Answer,Analyze,3.22,1.88,-0.16,Hard
Q1632,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,MCQ,Analyze,7.95,1.44,0.43,Easy
Q1633,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,Short Answer,Remember,7.0,1.06,0.54,Easy
Q1634,Mathematics,Linear Algebra,Solve a problem related to Linear Algebra in Mathematics.,Short Answer,Remember,3.82,1.9,0.68,Hard
Q1635,Physics,Thermodynamics,Evaluate the impact of Thermodynamics in Physics.,Short Answer,Understand,6.43,1.35,0.8,Medium
Q1636,Physics,Thermodynamics,Solve a problem related to Thermodynamics in Physics.,Long Answer,Analyze,9.05,0.82,0.27,Easy
Q1637,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,MCQ,Analyze,2.36,1.2,0.64,Hard
Q1638,Chemistry,Inorganic,Evaluate the impact of Inorganic in Chemistry.,Short Answer,Evaluate,6.26,1.44,0.61,Medium
Q1639,Computer Science,Data Structures,Apply the theory of Data Structures in practical scenarios.,Short Answer,Apply,5.8,1.47,0.09,Medium
Q1640,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,MCQ,Analyze,6.47,1.86,0.59,Medium
Q1641,Mathematics,Probability,Apply the theory of Probability in practical scenarios.,MCQ,Analyze,7.75,1.02,-0.17,Easy
Q1642,Physics,Optics,Solve a problem related to Optics in Physics.,Numerical,Understand,8.9,0.79,-0.04,Easy
Q1643,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,Short Answer,Understand,4.92,1.83,0.52,Medium
Q1644,Chemistry,Biochemistry,Solve a problem related to Biochemistry in Chemistry.,MCQ,Analyze,9.26,0.7,-0.08,Easy
Q1645,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Numerical,Remember,7.58,1.21,0.9,Easy
Q1646,Biology,Evolution,Analyze the principles of Evolution in Biology.,Numerical,Understand,4.63,1.08,0.53,Medium
Q1647,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,Short Answer,Remember,8.9,1.51,-0.05,Easy
Q1648,Biology,Cell Biology,Explain the concept of Cell Biology in Biology.,Numerical,Apply,4.99,1.08,-0.09,Medium
Q1649,Biology,Ecology,Apply the theory of Ecology in practical scenarios.,Numerical,Apply,7.62,1.21,0.22,Easy
Q1650,Physics,Optics,Solve a problem related to Optics in Physics.,Numerical,Remember,5.49,1.17,0.88,Medium
Q1651,Chemistry,Inorganic,Explain the concept of Inorganic in Chemistry.,MCQ,Remember,3.65,2.41,-0.02,Hard
Q1652,Mathematics,Linear Algebra,Apply the theory of Linear Algebra in practical scenarios.,Long Answer,Understand,5.32,1.41,-0.14,Medium
Q1653,Biology,Ecology,Solve a problem related to Ecology in Biology.,Long Answer,Analyze,6.42,1.01,0.82,Medium
Q1654,Physics,Electromagnetism,Analyze the principles of Electromagnetism in Physics.,MCQ,Evaluate,8.46,1.49,0.29,Easy
Q1655,Mathematics,Linear Algebra,Analyze the principles of Linear Algebra in Mathematics.,MCQ,Remember,8.04,1.96,-0.01,Easy
Q1656,Computer Science,Operating Systems,Apply the theory of Operating Systems in practical scenarios.,Long Answer,Analyze,8.73,0.81,-0.12,Easy
Q1657,Biology,Genetics,Solve a problem related to Genetics in Biology.,Short Answer,Apply,7.09,0.41,0.9,Easy
Q1658,Computer Science,Algorithms,Explain the concept of Algorithms in Computer Science.,MCQ,Apply,8.69,1.45,0.28,Easy
Q1659,Mathematics,Probability,Evaluate the impact of Probability in Mathematics.,MCQ,Analyze,6.84,2.16,0.78,Medium
Q1660,Physics,Electromagnetism,Explain the concept of Electromagnetism in Physics.,MCQ,Understand,9.46,0.76,0.49,Easy
Q1661,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,Long Answer,Analyze,3.82,1.37,-0.1,Hard
Q1662,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,MCQ,Remember,4.53,1.17,0.61,Medium
Q1663,Mathematics,Calculus,Analyze the principles of Calculus in Mathematics.,Long Answer,Analyze,6.14,0.49,-0.02,Medium
Q1664,Chemistry,Organic,Evaluate the impact of Organic in Chemistry.,Short Answer,Analyze,5.47,2.02,0.64,Medium
Q1665,Physics,Optics,Explain the concept of Optics in Physics.,MCQ,Analyze,6.11,1.35,0.3,Medium
Q1666,Computer Science,Algorithms,Analyze the principles of Algorithms in Computer Science.,MCQ,Remember,5.52,1.5,0.26,Medium
Q1667,Mathematics,Calculus,Apply the theory of Calculus in practical scenarios.,Short Answer,Evaluate,5.09,2.36,0.61,Medium
Q1668,Physics,Thermodynamics,Explain the concept of Thermodynamics in Physics.,Numerical,Evaluate,7.34,1.21,0.45,Easy
Q1669,Computer Science,Operating Systems,Explain the concept of Operating Systems in Computer Science.,Short Answer,Apply,4.67,1.13,0.49,Medium
Q1670,Physics,Thermodynamics,Apply the theory of Thermodynamics in practical scenarios.,Long Answer,Apply,5.39,2.1,0.08,Medium
Q1671,Chemistry,Physical,Analyze the principles of Physical in Chemistry.,MCQ,Apply,6.77,1.92,0.29,Medium
Q1672,Mathematics,Probability,Apply the theory of Probability in practical scenarios.,MCQ,Remember,3.11,1.47,0.49,Hard
Q1673,Biology,Genetics,Solve a problem related to Genetics in Biology.,Short Answer,Evaluate,1.97,0.2,0.42,Hard
Q1674,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,MCQ,Remember,9.5,1.3,0.44,Easy
Q1675,Chemistry,Biochemistry,Evaluate the impact of Biochemistry in Chemistry.,Long Answer,Apply,3.21,1.48,0.31,Hard
Q1676,Physics,Electromagnetism,Solve a problem related to Electromagnetism in Physics.,Long Answer,Understand,6.56,1.41,0.17,Medium
Q1677,Computer Science,Data Structures,Solve a problem related to Data Structures in Computer Science.,MCQ,Remember,6.09,1.81,0.49,Medium
Q1678,Biology,Genetics,Evaluate the impact of Genetics in Biology.,MCQ,Understand,3.85,1.56,0.21,Hard
Q1679,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,MCQ,Analyze,6.49,1.1,0.29,Medium
Q1680,Computer Science,Algorithms,Explain the concept of Algorithms in Computer Science.,Long Answer,Apply,4.62,1.84,-0.02,Medium
Q1681,Chemistry,Biochemistry,Apply the theory of Biochemistry in practical scenarios.,Short Answer,Understand,7.44,1.42,0.58,Easy
Q1682,Physics,Optics,Solve a problem related to Optics in Physics.,Numerical,Apply,7.12,0.2,-0.11,Easy
Q1683,Biology,Cell Biology,Analyze the principles of Cell Biology in Biology.,Numerical,Analyze,7.3,0.68,-0.08,Easy
